date,chair,spy_decision_pct,spy_fwd_1d_pct,spy_fwd_2d_pct,spy_fwd_3d_pct,spy_fwd_5d_pct,spy_fwd_10d_pct,tlt_fwd_1d_pct,tlt_fwd_2d_pct,tlt_fwd_3d_pct,tlt_fwd_5d_pct,tlt_fwd_10d_pct
2018-03-21,Powell,-0.192,-2.5,-4.578,-1.967,-3.92,-1.771,0.991,0.915,0.529,1.873,0.596
2018-05-02,Powell,-0.672,-0.22,1.071,1.413,2.394,3.435,0.448,0.6,0.44,-0.254,-1.251
2018-06-13,Powell,-0.319,0.252,-0.324,-0.529,-0.741,-3.122,0.83,0.922,0.83,0.528,2.373
2018-08-01,Powell,-0.167,0.545,0.976,1.346,1.638,0.328,0.144,0.642,0.701,0.279,2.009
2018-09-26,Powell,-0.299,0.279,0.29,0.638,0.635,-3.995,0.068,-0.196,-1.149,-2.272,-3.413
2018-11-08,Powell,-0.181,-0.977,-2.827,-3.009,-2.667,-6.15,0.747,1.404,1.342,1.36,2.338
2018-12-19,Powell,-1.498,-1.628,-4.203,-6.734,-1.27,0.45,-0.363,-0.38,0.116,-0.941,0.767
2019-03-20,Powell,-0.301,1.129,-0.817,-0.891,-0.675,1.73,0.22,1.777,1.94,2.804,0.685
2019-05-01,Powell,-0.752,-0.216,0.761,0.346,-1.467,-2.313,-0.476,-0.194,0.081,0.412,1.8
2019-07-31,Powell,-1.094,-0.871,-1.617,-4.576,-3.181,-4.549,1.783,2.724,4.5,5.373,9.632
2020-01-29,Powell,-0.083,0.325,-1.497,-0.765,1.91,3.307,0.014,0.927,0.678,-1.764,-0.823
2020-06-10,Powell,-0.558,-5.765,-4.636,-3.746,-2.301,-4.674,1.89,0.908,0.964,-0.174,1.362
2020-09-16,Powell,-0.397,-0.88,-2.411,-3.497,-4.775,-1.16,0.306,-0.006,0.501,0.556,-0.196
2021-01-27,Powell,-2.444,0.86,-1.159,0.486,1.987,4.185,-0.553,-1.151,-1.151,-2.66,-2.595
2021-04-28,Powell,-0.029,0.637,-0.024,0.192,-0.395,-2.873,-0.296,-0.065,-0.151,0.692,-2.256
2021-06-16,Powell,-0.558,-0.033,-1.703,-0.296,0.116,1.41,1.497,3.406,1.675,1.66,2.427
2021-07-28,Powell,-0.041,0.415,-0.073,-0.283,0.034,1.128,-0.555,-0.087,0.682,0.942,-2.118
2022-01-26,Powell,-0.251,-0.494,1.977,3.814,5.531,5.575,1.836,1.872,1.345,1.21,-1.473
2022-09-21,Powell,-1.744,-0.84,-2.501,-3.466,-1.818,-0.079,-2.555,-2.157,-4.027,-3.425,-5.073
2022-11-02,Powell,-2.51,-1.03,0.395,1.355,-0.197,5.49,-0.54,-2.211,-3.186,-1.806,5.241
2022-12-14,Powell,-0.639,-2.446,-4.039,-4.852,-3.297,-3.996,0.148,-0.971,-2.635,-4.124,-6.916
2023-03-22,Powell,-1.705,0.27,0.928,1.117,2.356,3.95,0.0,0.423,-1.936,-1.955,1.739
2023-05-03,Powell,-0.686,-0.708,1.13,1.157,1.184,1.767,-0.988,-1.317,-2.7,-2.107,-3.49
2023-09-20,Powell,-0.919,-1.653,-1.874,-1.461,-2.87,-3.187,-2.567,-1.783,-4.2,-5.027,-7.337
2024-01-31,Powell,-1.632,1.309,2.375,2.003,3.152,3.249,1.635,-0.61,-2.617,-2.142,-3.973
2024-05-01,Powell,-0.325,0.935,2.186,3.242,3.366,5.882,0.429,1.445,1.841,1.841,3.997
2024-09-18,Powell,-0.297,1.706,1.22,1.473,1.539,1.329,-0.331,-0.713,-0.924,-1.767,-1.938
2024-12-18,Powell,-2.98,-0.031,0.831,1.434,2.569,0.967,-1.514,-0.953,-1.862,-1.503,-2.097
2025-01-29,Powell,-0.448,0.537,0.002,-0.671,0.4,0.258,0.375,-0.284,0.17,2.136,-0.886
2025-06-18,Powell,-0.015,-0.529,0.454,1.563,2.415,4.67,-0.185,0.138,0.866,1.5,0.369
2025-07-30,Powell,-0.126,-0.375,-2.008,-0.519,-0.265,1.644,0.058,1.094,1.37,1.094,0.921
2025-09-17,Powell,-0.124,0.467,0.686,1.162,0.291,1.406,-1.032,-1.221,-1.576,-1.265,-0.921
2026-01-28,Powell,-0.01,-0.198,-0.496,-0.001,-1.327,-0.498,0.023,-0.537,-1.199,-1.21,0.525
2026-03-18,Powell,-1.395,-0.246,-1.944,-0.915,-0.697,-0.936,0.609,-1.299,-0.655,-0.138,-0.805
2026-04-29,Powell,-0.015,0.995,1.275,0.904,3.127,4.319,-0.093,-0.105,-0.863,0.443,-1.05
2026-06-17,Warsh,-1.249,0.78,0.463,-0.428,,,0.487,-0.278,-0.081,,
