date,chair,emergency,spy_pre5,spy_event0,spy_post1,spy_post3,spy_post5,tlt_pre5,tlt_event0,tlt_post1,tlt_post3,tlt_post5,event_color,post5_complete
2018-01-31,Yellen,False,-0.54,0.05,-0.114,-6.375,-5.048,-1.374,0.59,-1.654,-1.646,-3.186,Green,True
2018-03-21,Powell,False,-2.085,-0.192,-2.5,-1.967,-3.92,-0.201,0.109,0.991,0.529,1.873,Blue,True
2018-05-02,Powell,False,0.761,-0.672,-0.22,1.413,2.394,0.39,-0.11,0.448,0.44,-0.254,Red,True
2018-06-13,Powell,False,1.389,-0.319,0.252,-0.529,-0.741,-0.309,-0.05,0.83,0.83,0.528,Red,True
2018-08-01,Powell,False,-0.099,-0.167,0.545,1.346,1.638,0.017,-1.036,0.144,0.701,0.279,Red,True
2018-09-26,Powell,False,-0.055,-0.299,0.279,0.638,0.635,-0.537,0.703,0.068,-1.149,-2.272,Blue,True
2018-11-08,Powell,False,3.835,-0.181,-0.977,-3.009,-2.667,-0.933,-0.009,0.747,1.342,1.36,Red,True
2018-12-19,Powell,False,-3.426,-1.498,-1.628,-6.734,-1.27,0.606,1.321,-0.363,0.116,-0.941,Blue,True
2019-01-30,Powell,False,0.209,1.583,0.878,1.637,1.928,0.54,-0.074,0.86,-0.422,0.083,Orange,True
2019-03-20,Powell,False,1.041,-0.301,1.129,-0.891,-0.675,-0.533,1.046,0.22,1.94,2.804,Blue,True
2019-05-01,Powell,False,0.389,-0.752,-0.216,0.346,-1.467,0.881,0.202,-0.476,0.081,0.412,Blue,True
2019-06-19,Powell,False,1.211,0.226,0.955,0.198,-0.884,1.355,0.144,0.264,-0.098,-0.43,Green,True
2019-07-31,Powell,False,0.23,-1.094,-0.871,-4.576,-3.181,0.465,0.804,1.783,4.5,5.373,Blue,True
2019-09-18,Powell,False,0.936,0.06,-0.007,-0.96,-1.156,-1.18,0.424,0.301,1.604,1.325,Green,True
2019-10-30,Powell,False,1.405,0.307,-0.266,1.062,0.973,-1.428,1.463,1.349,-0.466,-0.99,Green,True
2019-12-11,Powell,False,1.286,0.284,0.862,1.616,1.644,-1.806,0.786,-1.646,-1.403,-2.347,Green,True
2020-01-29,Powell,False,-1.331,-0.083,0.325,-0.765,1.91,2.646,0.978,0.014,0.678,-1.764,Blue,True
2020-03-03,Powell,True,-4.134,-2.863,4.203,-0.926,-3.937,2.456,1.553,-1.062,6.678,3.953,Blue,True
2020-03-15,Powell,True,-9.46,-10.942,5.399,0.275,-7.046,-7.693,6.477,-6.668,-9.536,1.275,Blue,True
2020-04-29,Powell,False,4.648,2.618,-0.931,-3.288,-3.056,-0.992,-0.519,-1.168,-0.919,-3.141,Orange,True
2020-06-10,Powell,False,4.126,-0.558,-5.765,-3.746,-2.301,-1.979,1.483,1.89,0.964,-0.174,Blue,True
2020-07-29,Powell,False,-1.182,1.23,-0.357,1.129,2.15,1.787,-0.17,0.659,-0.024,0.047,Orange,True
2020-09-16,Powell,False,2.089,-0.397,-0.88,-3.497,-4.775,0.202,-0.299,0.306,0.501,0.556,Red,True
2020-11-05,Powell,False,5.167,1.95,-0.023,1.085,0.848,0.236,0.174,-1.208,-3.842,-1.853,Green,True
