date,action,regime,target_low,target_high,target_mid,change_bps,trailing_12m_bps
2018-01-31,Hold,Unknown,1.25,1.5,1.375,,
2018-03-21,Hike,Tightening,1.5,1.75,1.625,25,
2018-05-02,Hold,Tightening,1.5,1.75,1.625,0,
2018-06-13,Hike,Tightening,1.75,2.0,1.875,25,
2018-08-01,Hold,Tightening,1.75,2.0,1.875,0,
2018-09-26,Hike,Tightening,2.0,2.25,2.125,25,
2018-11-08,Hold,Tightening,2.0,2.25,2.125,0,
2018-12-19,Hike,Tightening,2.25,2.5,2.375,25,
2019-01-30,Hold,Tightening,2.25,2.5,2.375,0,
2019-03-20,Hold,Tightening,2.25,2.5,2.375,0,100
2019-05-01,Hold,Tightening,2.25,2.5,2.375,0,75
2019-06-19,Hold,Tightening,2.25,2.5,2.375,0,50
2019-07-31,Cut,Easing,2.0,2.25,2.125,-25,25
2019-09-18,Cut,Easing,1.75,2.0,1.875,-25,0
2019-10-30,Cut,Easing,1.5,1.75,1.625,-25,-50
2019-12-11,Hold,Easing,1.5,1.75,1.625,0,-50
2020-01-29,Hold,Easing,1.5,1.75,1.625,0,-75
2020-03-03,Cut,Easing,1.0,1.25,1.125,-50,-125
2020-03-15,Cut,Easing,0.0,0.25,0.125,-100,-225
2020-04-29,Hold,Easing,0.0,0.25,0.125,0,-225
2020-06-10,Hold,Easing,0.0,0.25,0.125,0,-225
2020-07-29,Hold,Easing,0.0,0.25,0.125,0,-225
2020-09-16,Hold,Easing,0.0,0.25,0.125,0,-200
2020-11-05,Hold,Easing,0.0,0.25,0.125,0,-150
2020-12-16,Hold,Easing,0.0,0.25,0.125,0,-150
2021-01-27,Hold,Easing,0.0,0.25,0.125,0,-150
2021-03-17,Hold,Easing,0.0,0.25,0.125,0,0
2021-04-28,Hold,Easing,0.0,0.25,0.125,0,0
2021-06-16,Hold,Easing,0.0,0.25,0.125,0,0
2021-07-28,Hold,Easing,0.0,0.25,0.125,0,0
2021-09-22,Hold,Easing,0.0,0.25,0.125,0,0
2021-11-03,Hold,Easing,0.0,0.25,0.125,0,0
2021-12-15,Hold,Easing,0.0,0.25,0.125,0,0
2022-01-26,Hold,Easing,0.0,0.25,0.125,0,0
2022-03-16,Hike,Tightening,0.25,0.5,0.375,25,25
2022-05-04,Hike,Tightening,0.75,1.0,0.875,50,75
2022-06-15,Hike,Tightening,1.5,1.75,1.625,75,150
2022-07-27,Hike,Tightening,2.25,2.5,2.375,75,225
2022-09-21,Hike,Tightening,3.0,3.25,3.125,75,300
2022-11-02,Hike,Tightening,3.75,4.0,3.875,75,375
2022-12-14,Hike,Tightening,4.25,4.5,4.375,50,425
2023-02-01,Hike,Tightening,4.5,4.75,4.625,25,450
2023-03-22,Hike,Tightening,4.75,5.0,4.875,25,450
2023-05-03,Hike,Tightening,5.0,5.25,5.125,25,475
2023-06-14,Hold,Tightening,5.0,5.25,5.125,0,425
2023-07-26,Hike,Tightening,5.25,5.5,5.375,25,375
2023-09-20,Hold,Tightening,5.25,5.5,5.375,0,300
2023-11-01,Hold,Tightening,5.25,5.5,5.375,0,225
2023-12-13,Hold,Tightening,5.25,5.5,5.375,0,150
2024-01-31,Hold,Tightening,5.25,5.5,5.375,0,100
2024-03-20,Hold,Tightening,5.25,5.5,5.375,0,75
2024-05-01,Hold,Tightening,5.25,5.5,5.375,0,50
2024-06-12,Hold,Tightening,5.25,5.5,5.375,0,25
2024-07-31,Hold,Tightening,5.25,5.5,5.375,0,0
2024-09-18,Cut,Easing,4.75,5.0,4.875,-50,-50
2024-11-07,Cut,Easing,4.5,4.75,4.625,-25,-75
2024-12-18,Cut,Easing,4.25,4.5,4.375,-25,-100
2025-01-29,Hold,Easing,4.25,4.5,4.375,0,-100
2025-03-19,Hold,Easing,4.25,4.5,4.375,0,-100
2025-05-07,Hold,Easing,4.25,4.5,4.375,0,-100
2025-06-18,Hold,Easing,4.25,4.5,4.375,0,-100
2025-07-30,Hold,Easing,4.25,4.5,4.375,0,-100
2025-09-17,Cut,Easing,4.0,4.25,4.125,-25,-125
2025-10-29,Cut,Easing,3.75,4.0,3.875,-25,-100
2025-12-10,Cut,Easing,3.5,3.75,3.625,-25,-100
2026-01-28,Hold,Easing,3.5,3.75,3.625,0,-75
2026-03-18,Hold,Easing,3.5,3.75,3.625,0,-75
2026-04-29,Hold,Easing,3.5,3.75,3.625,0,-75
2026-06-17,Hold,Easing,3.5,3.75,3.625,0,-75
2026-07-29,Hold,Easing,3.5,3.75,3.625,0,-75
2026-09-16,Hike,Tightening,3.75,4.0,3.875,25,-50
