decision,chair,action,ff_target,asset,day,close,daily_pct,cum_from_d0_pct
2018-03-21,Powell,Hike,1.50-1.75,SPY,0,270.43,-0.192,
2018-03-21,Powell,Hike,1.50-1.75,SPY,1,263.67,-2.500,-2.500
2018-03-21,Powell,Hike,1.50-1.75,SPY,2,258.05,-2.131,-4.578
2018-03-21,Powell,Hike,1.50-1.75,SPY,3,265.11,2.736,-1.967
2018-03-21,Powell,Hike,1.50-1.75,SPY,4,260.60,-1.701,-3.635
2018-03-21,Powell,Hike,1.50-1.75,SPY,5,259.83,-0.295,-3.920
2018-03-21,Powell,Hike,1.50-1.75,TLT,0,119.08,0.109,
2018-03-21,Powell,Hike,1.50-1.75,TLT,1,120.26,0.991,0.991
2018-03-21,Powell,Hike,1.50-1.75,TLT,2,120.17,-0.075,0.915
2018-03-21,Powell,Hike,1.50-1.75,TLT,3,119.71,-0.383,0.529
2018-03-21,Powell,Hike,1.50-1.75,TLT,4,120.99,1.069,1.604
2018-03-21,Powell,Hike,1.50-1.75,TLT,5,121.31,0.264,1.873
2018-09-26,Powell,Hike,2.00-2.25,SPY,0,289.88,-0.299,
2018-09-26,Powell,Hike,2.00-2.25,SPY,1,290.69,0.279,0.279
2018-09-26,Powell,Hike,2.00-2.25,SPY,2,290.72,0.010,0.290
2018-09-26,Powell,Hike,2.00-2.25,SPY,3,291.73,0.347,0.638
2018-09-26,Powell,Hike,2.00-2.25,SPY,4,291.56,-0.058,0.580
2018-09-26,Powell,Hike,2.00-2.25,SPY,5,291.72,0.055,0.635
2018-09-26,Powell,Hike,2.00-2.25,TLT,0,117.50,0.703,
2018-09-26,Powell,Hike,2.00-2.25,TLT,1,117.58,0.068,0.068
2018-09-26,Powell,Hike,2.00-2.25,TLT,2,117.27,-0.264,-0.196
2018-09-26,Powell,Hike,2.00-2.25,TLT,3,116.15,-0.955,-1.149
2018-09-26,Powell,Hike,2.00-2.25,TLT,4,116.86,0.611,-0.545
2018-09-26,Powell,Hike,2.00-2.25,TLT,5,114.83,-1.737,-2.272
2018-12-19,Powell,Hike,2.25-2.50,SPY,0,251.26,-1.498,
2018-12-19,Powell,Hike,2.25-2.50,SPY,1,247.17,-1.628,-1.628
2018-12-19,Powell,Hike,2.25-2.50,SPY,2,240.70,-2.618,-4.203
2018-12-19,Powell,Hike,2.25-2.50,SPY,3,234.34,-2.642,-6.734
2018-12-19,Powell,Hike,2.25-2.50,SPY,4,246.18,5.052,-2.022
2018-12-19,Powell,Hike,2.25-2.50,SPY,5,248.07,0.768,-1.270
2018-12-19,Powell,Hike,2.25-2.50,TLT,0,121.18,1.321,
2018-12-19,Powell,Hike,2.25-2.50,TLT,1,120.74,-0.363,-0.363
2018-12-19,Powell,Hike,2.25-2.50,TLT,2,120.72,-0.017,-0.380
2018-12-19,Powell,Hike,2.25-2.50,TLT,3,121.32,0.497,0.116
2018-12-19,Powell,Hike,2.25-2.50,TLT,4,120.02,-1.072,-0.957
2018-12-19,Powell,Hike,2.25-2.50,TLT,5,120.04,0.017,-0.941
2019-03-20,Powell,Hold,2.25-2.50,SPY,0,281.55,-0.301,
2019-03-20,Powell,Hold,2.25-2.50,SPY,1,284.73,1.129,1.129
2019-03-20,Powell,Hold,2.25-2.50,SPY,2,279.25,-1.925,-0.817
2019-03-20,Powell,Hold,2.25-2.50,SPY,3,279.04,-0.075,-0.891
2019-03-20,Powell,Hold,2.25-2.50,SPY,4,281.12,0.745,-0.153
2019-03-20,Powell,Hold,2.25-2.50,SPY,5,279.65,-0.523,-0.675
2019-03-20,Powell,Hold,2.25-2.50,TLT,0,122.68,1.046,
2019-03-20,Powell,Hold,2.25-2.50,TLT,1,122.95,0.220,0.220
2019-03-20,Powell,Hold,2.25-2.50,TLT,2,124.86,1.553,1.777
2019-03-20,Powell,Hold,2.25-2.50,TLT,3,125.06,0.160,1.940
2019-03-20,Powell,Hold,2.25-2.50,TLT,4,124.97,-0.072,1.867
2019-03-20,Powell,Hold,2.25-2.50,TLT,5,126.12,0.920,2.804
2019-05-01,Powell,Hold,2.25-2.50,SPY,0,291.81,-0.752,
2019-05-01,Powell,Hold,2.25-2.50,SPY,1,291.18,-0.216,-0.216
2019-05-01,Powell,Hold,2.25-2.50,SPY,2,294.03,0.979,0.761
2019-05-01,Powell,Hold,2.25-2.50,SPY,3,292.82,-0.412,0.346
2019-05-01,Powell,Hold,2.25-2.50,SPY,4,287.93,-1.670,-1.330
2019-05-01,Powell,Hold,2.25-2.50,SPY,5,287.53,-0.139,-1.467
2019-05-01,Powell,Hold,2.25-2.50,TLT,0,123.90,0.202,
2019-05-01,Powell,Hold,2.25-2.50,TLT,1,123.31,-0.476,-0.476
2019-05-01,Powell,Hold,2.25-2.50,TLT,2,123.66,0.284,-0.194
2019-05-01,Powell,Hold,2.25-2.50,TLT,3,124.00,0.275,0.081
2019-05-01,Powell,Hold,2.25-2.50,TLT,4,124.95,0.766,0.847
2019-05-01,Powell,Hold,2.25-2.50,TLT,5,124.41,-0.432,0.412
2022-09-21,Powell,Hike,3.00-3.25,SPY,0,377.39,-1.744,
2022-09-21,Powell,Hike,3.00-3.25,SPY,1,374.22,-0.840,-0.840
2022-09-21,Powell,Hike,3.00-3.25,SPY,2,367.95,-1.675,-2.501
2022-09-21,Powell,Hike,3.00-3.25,SPY,3,364.31,-0.989,-3.466
2022-09-21,Powell,Hike,3.00-3.25,SPY,4,363.38,-0.255,-3.712
2022-09-21,Powell,Hike,3.00-3.25,SPY,5,370.53,1.968,-1.818
2022-09-21,Powell,Hike,3.00-3.25,TLT,0,108.03,1.675,
2022-09-21,Powell,Hike,3.00-3.25,TLT,1,105.27,-2.555,-2.555
2022-09-21,Powell,Hike,3.00-3.25,TLT,2,105.70,0.408,-2.157
2022-09-21,Powell,Hike,3.00-3.25,TLT,3,103.68,-1.911,-4.027
