date,spy_decision_day_pct,position,spy_window_pct,pnl_pct
2018-03-21,-0.192,1,-3.92,-3.92
2018-05-02,-0.672,1,2.394,2.394
2018-06-13,-0.319,1,-0.741,-0.741
2018-08-01,-0.167,1,1.638,1.638
2018-09-26,-0.299,1,0.635,0.635
2018-11-08,-0.181,1,-2.667,-2.667
2018-12-19,-1.498,1,-1.27,-1.27
2019-01-30,1.583,-1,1.928,-1.928
2019-03-20,-0.301,1,-0.675,-0.675
2019-05-01,-0.752,1,-1.467,-1.467
2019-06-19,0.226,-1,-0.884,0.884
2019-07-31,-1.094,1,-3.181,-3.181
2019-09-18,0.06,-1,-1.156,1.156
2019-10-30,0.307,-1,0.973,-0.973
2019-12-11,0.284,-1,1.644,-1.644
2020-01-29,-0.083,1,1.91,1.91
2020-04-29,2.618,-1,-3.056,3.056
2020-06-10,-0.558,1,-2.301,-2.301
2020-07-29,1.23,-1,2.15,-2.15
2020-09-16,-0.397,1,-4.775,-4.775
2020-11-05,1.95,-1,0.848,-0.848
2020-12-16,0.157,-1,-0.702,0.702
2021-01-27,-2.444,1,1.987,1.987
2021-03-17,0.341,-1,-2.452,2.452
2021-04-28,-0.029,1,-0.395,-0.395
2021-06-16,-0.558,1,0.116,0.116
2021-07-28,-0.041,1,0.034,0.034
2021-09-22,0.975,-1,-0.779,0.779
2021-11-03,0.611,-1,-0.237,0.237
2021-12-15,1.562,-1,-0.618,0.618
2022-01-26,-0.251,1,5.531,5.531
2022-03-16,2.217,-1,1.878,-1.878
2022-05-04,3.045,-1,-8.463,8.463
2022-06-15,1.426,-1,-0.301,0.301
2022-07-27,2.597,-1,3.344,-3.344
2022-09-21,-1.744,1,-1.818,-1.818
2022-11-02,-2.51,1,-0.197,-0.197
2022-12-14,-0.639,1,-3.297,-3.297
2023-02-01,1.063,-1,-0.037,0.037
2023-03-22,-1.705,1,2.356,2.356
2023-05-03,-0.686,1,1.184,1.184
2023-06-14,0.119,-1,-0.153,0.153
2023-07-26,0.015,-1,-1.181,1.181
2023-09-20,-0.919,1,-2.87,-2.87
2023-11-01,1.066,-1,3.452,-3.452
2023-12-13,1.379,-1,-0.476,0.476
2024-01-31,-1.632,1,3.152,3.152
2024-03-20,0.925,-1,0.517,-0.517
2024-05-01,-0.325,1,3.366,3.366
2024-06-12,0.821,-1,1.042,-1.042
2024-07-31,1.625,-1,-5.837,5.837
2024-09-18,-0.297,1,1.539,1.539
2024-11-07,0.773,-1,-0.379,0.379
2024-12-18,-2.98,1,2.569,2.569
2025-01-29,-0.448,1,0.4,0.4
2025-03-19,1.089,-1,0.257,-0.257
2025-05-07,0.421,-1,4.712,-4.712
2025-06-18,-0.015,1,2.415,2.415
2025-07-30,-0.126,1,-0.265,-0.265
2025-09-17,-0.124,1,0.291,0.291
2025-10-29,0.048,-1,-1.427,1.427
2025-12-10,0.663,-1,-2.352,2.352
2026-01-28,-0.01,1,-1.327,-1.327
2026-03-18,-1.395,1,-0.697,-0.697
2026-04-29,-0.015,1,3.127,3.127
